field,missing_count,total_count,missing_percent
paper_id,0,0,0.0
citation_key,0,0,0.0
title,0,0,0.0
year,0,0,0.0
source,0,0,0.0
DOI,0,0,0.0
journal,0,0,0.0
doi,0,0,0.0
study_type,0,0,0.0
review_or_original,0,0,0.0
city,0,0,0.0
country,0,0,0.0
climate_zone,0,0,0.0
spatial_scale,0,0,0.0
building_type,0,0,0.0
urban_form_variables,0,0,0.0
microclimate_variable,0,0,0.0
microclimate_data_source,0,0,0.0
weather_file_type,0,0,0.0
microclimate_model,0,0,0.0
ubem_tool,0,0,0.0
bem_engine,0,0,0.0
coupling_strategy,0,0,0.0
coupling_direction,0,0,0.0
temporal_resolution,0,0,0.0
spatial_resolution,0,0,0.0
validation_data,0,0,0.0
calibration_method,0,0,0.0
uncertainty_method,0,0,0.0
sensitivity_method,0,0,0.0
energy_output,0,0,0.0
comfort_output,0,0,0.0
carbon_output,0,0,0.0
policy_application,0,0,0.0
key_finding,0,0,0.0
reported_energy_impact,0,0,0.0
reported_temperature_impact,0,0,0.0
limitations,0,0,0.0
reproducibility,0,0,0.0
relevance_to_review,0,0,0.0
